ISPB,Nome_Reduzido,Número_Código,Participa_da_Compe,Acesso_Principal,Nome_Extenso,Início_da_Operação
0,BCO DO BRASIL S.A.,1.0,Sim,RSFN,Banco do Brasil S.A.                                                            ,22/04/2002
208,BRB - BCO DE BRASILIA S.A.,70.0,,RSFN,BRB - BANCO DE BRASILIA S.A.                                                    ,22/04/2002
38121,Selic                              ,,Não,RSFN,Banco Central do Brasil - Selic                                                 ,22/04/2002
38166,Bacen                              ,,,RSFN,Banco Central do Brasil                                                         ,22/04/2002
204963,CCR SEARA,430.0,,RSFN,COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA                                 ,27/08/2021
250699,AGK CC S.A.,272.0,,RSFN,AGK CORRETORA DE CAMBIO S.A.                                                    ,21/11/2018
315557,CONF NAC COOP CENTRAIS UNICRED,136.0,,RSFN,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASI,28/07/2014
329598,ÍNDIGO INVESTIMENTOS DTVM LTDA.,407.0,,RSFN,ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.       ,22/02/2021
360305,CAIXA ECONOMICA FEDERAL,104.0,,RSFN,CAIXA ECONOMICA FEDERAL                                                         ,22/04/2002
394460,STN                                ,,,RSFN,Secretaria do Tesouro Nacional - STN                                            ,22/04/2002
416968,BANCO INTER,77.0,,RSFN,Banco Inter S.A.                                                                ,15/08/2008
460065,COLUNA S.A. DTVM,423.0,,RSFN,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS                       ,07/06/2021
517645,BCO RIBEIRAO PRETO S.A.,741.0,,RSFN,BANCO RIBEIRAO PRETO S.A.                                                       ,22/04/2002
556603,BANCO BARI S.A.,330.0,,RSFN,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.                               ,22/07/2019
558456,BCO CETELEM S.A.,739.0,,RSFN,Banco Cetelem S.A.                                                              ,22/04/2002
795423,BANCO SEMEAR,743.0,,RSFN,Banco Semear S.A.                                                               ,22/04/2002
806535,PLANNER CV S.A.,100.0,,RSFN,Planner Corretora de Valores S.A.                                               ,27/04/2011
997185,BCO B3 S.A.,96.0,,RSFN,Banco B3 S.A.                                                                   ,12/11/2004
1023570,BCO RABOBANK INTL BRASIL S.A.,747.0,,RSFN,Banco Rabobank International Brasil S.A.                                        ,22/04/2002
1027058,CIELO IP S.A.,362.0,,RSFN,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO                                           ,17/07/2020
